Nr.,Kapitel,Deutsch,Suaheli
5,C2.3-4a,Ich sehe seine Augen.,Ninaona macho yake.
1,C2.3-4b,Sie nehmen das kalte Wasser.,Wanachukua maji baridi.
2,C2.3-4b,Wir kaufen ein neues Auto.,Tunanunua gari jipya.
3,C2.3-4b,Ihr arbeitet an den Tischen.,Mnafanya kazi kwenye meza.
1,C2.3-5a,Wir essen das Essen; das gut ist.,Tunakula chakula kizuri.
2,C2.3-5a,Sie kaufen schöne Tische.,Wananunua meza nzuri.
3,C2.3-5a,Ihr gebt mir die Eier.,Mnanipa mimi mayai.
4,C2.3-5a,Ich will meine Augen sehen.,Ninataka kuona macho yangu.
5,C2.3-5a,Die Lehrer gehen jetzt.,Walimu wanakwenda sasa.
6,C2.3-5a,Die Kinder spielen.,Watoto wanacheza.
1,C2.3-5b,Kannst du das sehen?,Unaweza kuona hicho?
2,C2.3-5b,Wir verkaufen keine Eier.,Hatuuzi mayai.
3,C2.3-5b,Sie trinken keinen Alkohol.,Hawanywi pombe.
4,C2.3-5b,Wir warten; und die Kinder essen.,Tunasubiri na watoto wanakula.
5,C2.3-5b,Wir brauchen Geld; weil wir kaufen.,Tunahitaji pesa kwa sababu tunanunua.
6,C2.3-5b,Es ist heiß; aber wir arbeiten.,Ni moto; lakini tunafanya kazi.
1,C2.3-6a,Wir nehmen unsere Sachen.,Tunachukua vitu vyetu.
2,C2.3-6a,Das Essen der Gäste ist fertig.,Chakula cha wageni kimeisha.
3,C2.3-6a,Eure Eltern sind nicht hier.,Wazazi wenu hawapo hapa.
4,C2.3-6a,Kannst du meine Eltern sehen?,Unaweza kuona wazazi wangu?
5,C2.3-6a,Warum seid ihr hier?,Kwa nini mpo hapa?
1,C2.3-6b,Wir sind hier; um zu arbeiten.,Tupo hapa kufanya kazi.
2,C2.3-6b,Sie sagen; dass wir arbeiten sollen.,Wanasema tufanye kazi.
3,C2.3-6b,Wo ist dein Ehemann?,Mume wako yupo wapi?
4,C2.3-6b,Unsere Zimmer sind groß.,Vyumba vyetu ni vikubwa.
5,C2.3-6b,Eure Tische sind neu.,Meza zenu ni mpya.
1,C2.3-6c,Wir warten auf unser Geld.,Tunasubiri pesa yetu.
2,C2.3-6c,Diese Kinder sind jung und gesund.,Watoto hawa ni wadogo na wazima.
3,C2.3-6c,Jene Äpfel sind gut.,Matunda yale ni mazuri.
4,C2.3-6c,Er denkt; dass sein Auto alt ist.,Anafikiri kwamba gari lake ni zamani.
5,C2.3-6c,Das Haus unseres Lehrers ist groß.,Nyumba ya mwalimu wetu ni kubwa.
6,C2.3-6c,Ich sehe deine Eltern dort.,Ninawaona wazazi wako pale.
7,C2.3-6c,Wir geben ihm Wasser.,Tunampa maji.
1,C2.3-7a,Der Kaffee ist heiß.,Kahawa ni moto.
2,C2.3-7a,Der Lehrer ist hier.,Mwalimu yupo hapa.
3,C2.3-7a,Das Auto ist hier.,Gari lipo hapa.
4,C2.3-7a,Ich mache es für dich.,Ninafanya kwa wewe.
5,C2.3-7a,Wir sind hier; und wir arbeiten.,Tupo hapa; na tunafanya kazi.
1,C2.3-7b,Ich bin jung; aber ich unterrichte.,Mimi ni kijana; lakini ninafundisha.
2,C2.3-7b,Das ist klein; aber es ist gut.,Hiki ni kidogo; lakini ni kizuri.
1,C2.3-7c,Der Lehrer ist alt.,Mwalimu ni mzee.
2,C2.3-7c,Das Auto ist alt.,Gari ni la zamani.
3,C2.3-7c,Ich bin neu;fremd hier.,Mimi ni mgeni hapa.
4,C2.3-7c,Das Buch ist neu.,Kitabu ni kipya.
5,C2.3-7c,Der Stuhl ist alt;kaputt.,Kiti ni kikuukuu.
