Nr.,Kapitel,Deutsch,Suaheli
4,C4.2-4,Viel Geld wurde ausgegeben.,Pesa nyingi zilitumika.
5,C4.2-4,Die Kinder werden geliebt.,Watoto wanapendwa.
6,C4.2-4,Wurde das Essen gekocht?,Chakula kimepikwa?
1,C4.2-5,Ja; es wurde gekocht und ist fertig.,Ndiyo; kimepikwa na kimeisha.
2,C4.2-5,Dieses Problem wurde gelöst.,Shida hii imetatuliwa.
3,C4.2-5,Das Zimmer wird sauber gemacht.,Chumba kinasafishwa.
4,C4.2-5,Es wurde gesagt; dass wir gehen sollen.,Ilisemwa kwamba tuende.
5,C4.2-5,Die Arbeit wird von uns gemacht.,Kazi inafanywa na sisi.
6,C4.2-5,Das Geld wurde noch nicht gefunden.,Pesa haijapatikana.
1,C4.2-6,Er ließ es machen (Kaus.); es wurde gemacht (Pass.).,Alikifanyisha; kilifanywa.
2,C4.2-6,Wir haben ihm die großen Tische gezeigt.,Tumemwonyesha meza kubwa.
3,C4.2-6,Die drei Eier wurden gegessen.,Mayai matatu yamekuliwa.
4,C4.2-6,Er hat mich nicht verstehen lassen.,Hajanifahamisha.
5,C4.2-6,Die Autos werden morgen verkauft werden.,Magari yatauzwa kesho.
6,C4.2-6,Das Wasser wurde noch nicht getrunken.,Maji hayajapata moto.
1,C4.2-7a,Er wird sehen; dass die Arbeit getan wurde.,Ataona kwamba kazi imefanywa.
2,C4.2-7a,Ich musste die Kinder spielen lassen; weil sie müde waren.,Ilinibidi niwachezeshe kwa sababu walikuwa wamechoka.
3,C4.2-7a,Nachdem wir es ihm gezeigt hatten; ging er.,Baada ya kumwonyesha; alikwenda.
4,C4.2-7a,Er sagte; dass es nicht gemacht werden wird.,Alisema kwamba hakitafanywa.
5,C4.2-7a,Drei kleine Eier wurden gefunden.,Mayai matatu madogo yalipatikana.
1,C4.2-7b,Die Tische; die wir verkauft haben; waren groß.,Meza tulizouza zilikuwa kubwa.
2,C4.2-7b,Er hat mich warten lassen; aber ich habe noch nicht gegessen.,Amenisubirisha; lakini sijala.
3,C4.2-7b,Ich wurde in der Schule unterrichtet.,Nilifundishwa shuleni.
4,C4.2-7b,Er ließ uns zehn Stunden lang arbeiten.,Alitufanyisha kazi kwa masaa kumi.
5,C4.2-7b,Es wird gesagt; dass er morgen ankommen wird.,Inasemwa kwamba atafika kesho.
1,C4.2-8a,Wir wurden gesehen; als wir Wasser tranken.,Tulionwa tulivyokunywa maji.
2,C4.2-8a,Du wirst ihm zeigen; wie man das macht.,Utamwonyesha jinsi ya kufanya hili.
3,C4.2-8a,Die Eltern ließen die Kinder schlafen.,Wazazi waliwalalisha watoto.
4,C4.2-8a,Ich muss gehen; weil ich gerufen werde.,Lazima niende kwa sababu ninaitwa.
5,C4.2-8a,Wir haben entschieden; dass das Brot gebacken werden soll.,Tumeamua kwamba mkate uokwe.
1,C4.2-8b,Das viele Geld wurde gefunden.,Pesa nyingi zilipatikana.
2,C4.2-8b,Er hat uns das kleine Haus gezeigt.,Ametuonyesha nyumba ndogo.
3,C4.2-8b,Die Arbeit; die wir getan haben; ist nicht beendet.,Kazi tuliyofanya haijaisha.
4,C4.2-8b,Wir werden nicht sehen gelassen.,Hatutaruhusiwa kuona.
5,C4.2-8b,Das sind die zehn Autos; die verkauft wurden.,Haya ni magari kumi yaliyouzwa.
1,C4.2-9a,Ich ließ ihn gehen; nachdem er gegessen hatte.,Nilimwacha aende; baada ya kula.
2,C4.2-9a,Das Brot wird von ihm gebacken werden.,Mkate utaokwa na yeye.
3,C4.2-9a,Wir wurden zu unserem großen Haus gebracht.,Tulipelekwa auf dem Markt kwenye nyumba yetu kubwa.
4,C4.2-9a,Es ist noch nicht entschieden; wer es tun wird.,Haijaamuliwa nani atafanya.
5,C4.2-9a,Sie zeigten mir die drei Eier.,Walinionyesha mayai matatu.
1,C4.2-9b,Die Arbeit wird morgen beendet werden.,Kazi itamalizwa kesho.
2,C4.2-9b,Ich habe ihn sehen lassen; dass ich müde bin.,Nimemwonyesha kwamba nimechoka.
3,C4.2-9b,Er ließ uns das Haus von innen sehen.,Alituonyesha nyumba ndani.
4,C4.2-9b,Das Problem ist noch nicht gelöst.,Shida haijatatuliwa.
5,C4.2-9b,Alles wird gemacht werden und alles wird gezeigt werden.,Yote yatafanywa na yote yataonyeshwa.
1,C4.2-10a,Ich habe ihm die Sachen gegeben.,Nimempa vitu.
2,C4.2-10a,Wir haben noch nicht gearbeitet.,Hatujafanya kazi.
3,C4.2-10a,Die Kinder sind angekommen.,Watoto wamefika.
4,C4.2-10a,Das Essen ist noch nicht fertig.,Chakula hakijaisha.
1,C4.2-10b,Er ist müde; weil er gearbeitet hat.,Amechoka kwa sababu amefanya kazi.
2,C4.2-10b,Ich warte nicht; ich bin fertig.,Sisubiri; nimemaliza.
3,C4.2-10b,Hast du deinen Tisch gesehen?,Umeona meza yako?
4,C4.2-10b,Nein; ich habe ihn noch nicht gesehen.,Hapana; sijaiona bado.
1,C4.2-11a,Sie kauften gestern vier Autos.,Walinunua magari manne jana.
2,C4.2-11a,Die vielen Augen sehen gut.,Macho mengi yanaona vizuri.
3,C4.2-11a,Ich habe zwei große Tische.,Nina meza mbili kubwa.
4,C4.2-11a,Das Wasser war hier.,Maji yalikuwa hapa.
1,C4.2-11b,Sein Auto wird alt sein.,Gari lake litakuwa kuukuu.
2,C4.2-11b,Wir haben wenig Brot.,Tuna mkate kidogo.
3,C4.2-11b,Das Ei war klein.,Yai lilikuwa dogo.
4,C4.2-11b,Das ist teuer.,Hilo ni ghali.
1,C4.2-12,Er wird gehen; weil er gestern gegangen ist.,Atakwenda kwa sababu alikwenda jana.
2,C4.2-12,Wir werden sehen; dass sie essen.,Tutaona wanakula.
3,C4.2-12,Sie waren nicht hier; aber sie werden es tun.,Hawakuwapo hapa; lakini watafanya.
4,C4.2-12,Ich habe das Brot gekauft; das wir morgen essen werden.,Nimenunua mkate tutakaokula kesho.
