Nr.,Kapitel,Deutsch,Suaheli
1,C5.2-7a,Wenn er das wusste; warum hat er es nicht gesagt?,Akijua hilo; kwa nini hakuongea?
2,C5.2-7a,Wenn die Straße lang ist; dauert es.,Barabara ikiwa ndefu; inachukua muda.
3,C5.2-7a,Lass es gemacht werden!,Lifanywe!
4,C5.2-7a,Wenn sie uns die Wahrheit zeigen; werden wir gehen.,Wakitwonyesha ukweli; tutakwenda.
5,C5.2-7a,Der Tisch; der bricht; wenn du ihn siehst; ist alt.,Meza inayovunjika ukiiona; ni ya zamani.
1,C5.2-7b,Wenn du Geld hast; kauf uns bitte Brot.,Ukiwa na pesa; tununulie mkate.
2,C5.2-7b,Wenn er es ihm gab; warum ist es jetzt weg?,Akimpa; kwa nini imeisha sasa?
3,C5.2-7b,Wenn das Problem gelöst ist; ist die Arbeit vorbei.,Tatizo likitatuliwa; kazi imeisha.
4,C5.2-7b,Wenn du morgen kommst; werde ich dir das Buch geben.,Ukija kesho; nitakupa kitabu.
5,C5.2-7b,Lasst ihn das Auto fahren!,Mwache aendeshe gari!
1,C5.2-8a,Wenn du jetzt gehst; wirst du uns nicht sehen.,Ukikwenda sasa; hutatuona.
2,C5.2-8a,Der Mann; der mir hilft; wenn er arbeitet; ist gut.,Mwanamume anayenisaidia akifanya kazi; ni mzuri.
3,C5.2-8a,Seht euch diese zwei Eier an!,Oneni mayai haya mawili!
4,C5.2-8a,Wenn du das hast (bekommen hast); sei glücklich!,Umepata; furahi!
5,C5.2-8a,Lass uns jetzt das machen; was er wollte.,Tufanye sasa alichotaka.
6,C5.2-8a,Wenn das Wasser fließt; gib mir zu trinken!,Maji yakitiririka; ninyweshe.
1,C5.2-8b,Sieh nicht die Arbeit; die nicht gemacht wurde!,Usione kazi isiyofanywa!
2,C5.2-8b,Wenn wir drei Tische kaufen; zahlen wir viel.,Tukinunua meza tatu; tutalipa pesa nyingi.
3,C5.2-8b,Lass die Kinder das kleine Auto fahren!,Waache watoto waendeshe dogo!
4,C5.2-8b,Die Frau; die müde ist; wenn sie sich ausruht; wird sie kommen.,Mwanamke amechoka akipumzika; atakuja.
1,C5.2-9a,Wenn viel Geld gefunden wird; werden wir sehen.,Pesa nyingi zikipatikana; tutaona.
2,C5.2-9a,Wenn ihr geht; lasst uns wissen; was ihr getan habt.,Mkienda; tujulisheni mlichofanya.
1,C5.2-10a,Ich habe ihm geholfen.,Nimemsaidia.
2,C5.2-10a,Das Auto ist noch nicht verkauft.,Gari halijauzwa.
3,C5.2-10a,Lass uns morgen gehen!,Twende kesho!
4,C5.2-10a,Der Mann; der hier war; ist mein Bruder.,Mwanamume aliyekuwa hapa ni kaka yangu.
1,C5.2-10b,Sie zeigte mir die Straße.,Alinionyesha barabara.
2,C5.2-10b,Das Essen ist gegessen worden.,Chakula kimekuliwa.
3,C5.2-10b,Ich werde dich morgen sehen.,Nitakuona kesho.
4,C5.2-10b,Wir haben ihn nicht gesehen.,Hatukumwona.
1,C5.2-11a,Sieben Eier sind hier.,Mayai saba yapo hapa.
2,C5.2-11a,Unsere Autos sind klein.,Magari yetu ni madogo.
3,C5.2-11a,Das ist sein Tisch.,Hii ni meza yake.
4,C5.2-11a,Wir sind nicht im Haus.,Hatupo nyumbani.
1,C5.2-11b,Ich kann nicht gehen.,Siwezi kwenda.
2,C5.2-11b,Der Mann; der kommen wird; ist stark.,Mwanamume atakayekuja ni imara.
3,C5.2-11b,Wir haben viel Wasser.,Tuna maji mengi.
4,C5.2-11b,Wir haben gekauft und werden gehen.,Tumenunua na tutakwenda.
1,C5.2-12a,Wir sollen ihn nicht warten lassen.,Tusimsubirishe.
2,C5.2-12a,Viel Geld wurde uns gegeben.,Pesa nyingi tulipewa.
3,C5.2-12a,Die neuen Tische sind teuer.,Meza mpya ni ghali.
4,C5.2-12a,Das ist das Brot; das ich esse.,Huo ni mkate ninaokula.
1,C5.2-13a,Ich würde kochen.,Ningepika.
2,C5.2-13a,Wir würden essen.,Tungekula.
3,C5.2-13a,Wenn ich kochen würde; würde ich essen.,Ningepika; ningekula.
4,C5.2-13a,Wenn ich nicht gehen würde; würde ich bleiben.,Nisingeenda; ningebaki.
1,C5.2-13b,Wenn ich Geld hätte; würde ich kaufen.,Ningekuwa na pesa; ningenunua.
2,C5.2-13b,Wenn er kommt (real); gehen wir.,Akija; tunakwenda.
3,C5.2-13b,Wenn er käme (unwahrscheinlich); würden wir gehen.,Angeja; tungekwenda.
