Nr.,Kapitel,Deutsch,Suaheli
4,C2.1-6,Er ist nicht dort.,Yeye hayupo pale.
5,C2.1-6,Ich mache es jetzt.,Ninafanya sasa.
6,C2.1-6,Er arbeitet nicht.,Hafanyi kazi.
7,C2.1-6,Er redet; weil er weiß.,Anaongea kwa sababu anajua.
8,C2.1-6,Ich bin reich; aber ich arbeite.,Mimi ni tajiri; lakini ninafanya kazi.
9,C2.1-6,Der Laden ist hier; aber ich kaufe nicht.,Duka lipo hapa; lakini sinunui.
1,C2.1-7,Wir wollen Brot essen.,Tunataka kula mkate.
2,C2.1-7,Ihr braucht dieses Geld.,Mnahitaji pesa hizi.
3,C2.1-7,Sie lieben es; hier zu warten.,Wanapenda kusubiri hapa.
4,C2.1-7,Wir wollen dich.,Tunakutaka.
5,C2.1-7,Sie brauchen uns nicht.,Hawatuhitaji.
